,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,rijndael_dec_main,sha_main,st_main,statemate_main
epic_main,34287.334827000006,0,0,0,0,0,32886.123745,33589.713647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fft_main,108.27056299999998,1073.901001,40.534968000000006,0,0,75.32352,40.981102,42.232442,69.906443,0,0,0,0,0,262.34709,0,0,0,487.601132,71.426129,0,26.707815,33.735867,52.098298,33.039383,0,0,547.7101849999999,0,82.578065,0,0,206.402935,87.569421,0,146.367755,43.352024,81.070783
filterbank_main,111.94418399999999,1290.98875,43.138777,34.506321,238.568778,87.24300099999999,49.561839,43.170103999999995,99.93341699999999,60.193002,0,0,33.584898,52.971311,292.433647,149.109577,351.874483,1068.3956759999999,519.632003,94.176342,32.071148,31.807828999999998,38.973081,62.453143,38.418847,60.32201,32.662731,245.018155,98.90841,70.919764,85.380333,0,289.078745,110.21862200000001,0,186.254426,56.074394,115.456222
fir2dim_main,138.974628,4410.547897,58.19555,57.888435,237.748517,85.442002,58.657377,72.73779499999999,92.95833999999999,85.76672099999999,0,0,53.120608000000004,55.46616,313.26631,152.460708,366.888369,1274.84986,599.113378,122.300287,49.718261,46.191315,46.669916,71.213648,48.630216,65.182828,49.977789,260.20381599999996,109.162524,92.198687,115.10779400000001,331.939385,295.389619,302.13304,0,277.363435,80.055134,136.850111
fmref_main,551.316083,21279.361305000002,431.925719,390.109616,0,615.910205,437.74668800000006,420.31877199999997,438.351591,367.461076,0,261.843534,291.50273799999997,307.063113,866.1466130000001,601.388742,710.356028,1607.162145,1716.98787,385.654659,285.208815,260.560638,303.589788,339.04879600000004,330.524872,380.79773,289.672005,1371.13388,401.373841,359.622864,350.02582300000006,1393.9860400000002,642.5400300000001,2961.2341890000002,0,784.49509,438.982023,383.15280900000005
g723_enc_main,242.205607,4272.995319000001,198.106351,172.940436,344.29054099999996,247.64485,153.440306,163.179664,249.822515,224.03205000000003,0,0,148.777256,150.91077,590.994751,223.93399599999998,496.915839,1408.398501,632.304012,191.024367,136.220183,150.31829000000002,139.993475,167.019767,146.14858099999998,176.392018,137.977679,433.99404000000004,288.134903,187.67403000000002,191.06614000000002,476.680105,436.55661499999997,462.02107300000006,0,391.560348,172.265064,243.12001
gsm_dec_main,634.741268,11888.028463,451.45295600000003,403.892542,707.237921,536.756803,505.247452,420.091212,490.851182,527.0519879999999,0,0,351.087505,362.70467600000006,693.8740809999999,496.86259399999994,826.1338559999999,1203.478709,880.530938,391.933983,350.196113,352.298383,348.027979,376.25532599999997,362.139721,337.522609,321.711978,1242.830724,455.351761,406.324821,426.905653,918.136607,606.424085,1275.617872,0,734.6693789999999,439.024625,487.694263
gsm_enc_main,1622.595817,14519.933332,1564.280506,1316.2557520000003,1840.1010170000002,1464.8565270000001,1361.399583,1234.708804,1619.630451,1779.7627859999998,0,0,1067.354984,1269.105999,1585.699546,1407.9391879999998,1202.8711090000002,2045.22433,1721.4258730000001,1098.913059,1068.991412,1045.6664930000002,1146.5463129999998,1092.190273,1103.893282,1066.656334,1108.483453,1377.631301,1607.6692890000002,1144.044428,1265.729908,2013.781792,1435.54217,1950.018896,0,1710.2887,1073.704641,1294.739976
h264_dec_main,900.6234400000001,7407.499753,715.550422,596.2826239999999,562.026962,4725.4016409999995,664.728324,709.38682,919.62375,794.334876,0,487.7841250000001,514.376696,516.277907,1886.91578,710.060892,890.631046,1907.062541,8199.545259,801.2777970000001,373.046911,437.020921,501.477721,604.5207770000001,417.997663,533.006171,500.562869,1152.766763,501.174432,490.428041,604.931894,0,1211.731512,252.25909000000001,0,557.705553,1918.872968,677.175119
huff_dec_main,181.518755,15669.793746,108.718734,93.40720300000001,298.896096,293.27966399999997,107.747512,110.35525999999999,189.41083500000002,169.30663800000002,0,71.899707,94.41486599999999,121.144858,409.79945899999996,198.109305,408.10400300000003,1120.032524,987.4205079999999,161.65232799999998,75.548685,75.816913,77.106721,112.88136399999999,78.308503,128.815881,83.506572,328.627166,169.00645500000002,131.25641299999998,144.382948,0,357.924842,1227.6121739999999,0,340.196236,153.76093,170.308127
